eventId,clientType,alObjectType,alObjectId,alObjectName,extensionName,extensionPublisher,Count,PercentOfTotal,FirstSeen [UTC],LastSeen [UTC],AvgPerHour,AvgExecutionMs,MaxExecutionMs,SampleMessage
CL0001,Desktop,Page,80106,HAG Webshop Logins,,,3,0,"10/30/2025, 10:06:34.167 AM","10/30/2025, 1:03:22.499 PM",0.1,NaN,,
CL0001,Desktop,Page,7,Customer Price Groups,,,3,0,"10/30/2025, 9:29:19.268 AM","10/30/2025, 3:38:11.050 PM",0.1,NaN,,
CL0001,Desktop,Page,7002,Sales Prices,,,3,0,"10/30/2025, 9:30:50.400 AM","10/30/2025, 3:38:19.834 PM",0.1,NaN,,
RT0006,WebClient,Report,10027222,REP Sales - Invoice Wise,Wise Reports,Wise,3,0,"10/30/2025, 12:00:02.563 PM","10/30/2025, 2:42:04.870 PM",0.1,803.1,930.99,Report rendered: 10027222 - Sala - Reikningur Wise
CL0001,Desktop,Page,379,Bank Acc. Reconciliation,,,3,0,"10/30/2025, 1:35:58.514 PM","10/31/2025, 7:21:56.128 AM",0.1,NaN,,
LC0045,,,,,,,3,0,"10/31/2025, 8:10:56.547 AM","10/31/2025, 8:14:08.666 AM",0.1,505868.25,847057.3,Task d7c271a5-1f58-4c79-9878-4f3ded2c59d6 main codeunit 448 failed. It will not be retried and the failure codeunit 450 will be run. Reason: Exception is not retriable.
RT0018,Background,Report,296,Batch Post Sales Orders,Base Application,Microsoft,3,0,"10/31/2025, 8:10:56.476 AM","10/31/2025, 8:16:42.924 AM",0.1,NaN,,Operation exceeded time threshold (AL method)
AL0000HE7,Background,CodeUnit,8713,System Telemetry Logger,System Application,Microsoft,3,0,"10/31/2025, 8:10:56.561 AM","10/31/2025, 8:14:08.719 AM",0.1,NaN,,Job queue entry errored: D9A751EF-5ED8-4437-BC3C-E20C4A06F96A
RT0018,Background,CodeUnit,10036994,LSC Retail Sales Order Ext.,LS Central,LS Retail,3,0,"10/31/2025, 8:05:41.110 AM","10/31/2025, 8:16:34.823 AM",0.1,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,38,Item Ledger Entries,,,3,0,"10/30/2025, 2:24:00.565 PM","10/31/2025, 6:59:20.341 AM",0.1,NaN,,
CL0001,Desktop,Page,34,Vendor Lookup,,,3,0,"10/30/2025, 9:43:00.225 AM","10/30/2025, 12:32:02.755 PM",0.1,NaN,,
CL0001,Desktop,Page,142,Posted Sales Shipments,,,3,0,"10/30/2025, 9:13:01.810 AM","10/30/2025, 2:31:12.835 PM",0.1,NaN,,
CL0001,Desktop,Page,9620,Page Fields,,,3,0,"10/30/2025, 1:22:56.860 PM","10/30/2025, 1:52:49.597 PM",0.1,NaN,,
CL0001,Desktop,Page,9150,My Customers,,,3,0,"10/30/2025, 1:22:19.763 PM","10/30/2025, 1:23:22.010 PM",0.1,NaN,,
CL0001,Desktop,Page,9309,Purchase Credit Memos,,,3,0,"10/30/2025, 1:08:32.312 PM","10/30/2025, 2:56:26.479 PM",0.1,NaN,,
CL0001,Desktop,Page,146,Posted Purchase Invoices,,,3,0,"10/30/2025, 1:09:01.293 PM","10/30/2025, 2:27:53.610 PM",0.1,NaN,,
RT0018,Background,CodeUnit,10008444,RSM Send and Receive documents,Wise e-Invoices,Wise,3,0,"10/30/2025, 3:30:52.975 PM","10/31/2025, 8:22:02.098 AM",0.1,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,344,Navigate,,,3,0,"10/30/2025, 9:54:59.941 AM","10/30/2025, 2:27:02.372 PM",0.1,NaN,,
CL0001,Desktop,Page,1408,Bank Acc. Recon. - Test,,,3,0,"10/30/2025, 1:43:50.708 PM","10/31/2025, 7:32:43.444 AM",0.1,NaN,,
RT0018,Background,CodeUnit,99009649,LSC Omni BO Utils,LS Central,LS Retail,3,0,"10/31/2025, 8:05:41.109 AM","10/31/2025, 8:16:34.822 AM",0.1,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,9027,Accountant Role Center,,,2,0,"10/31/2025, 8:08:38.735 AM","10/31/2025, 8:08:55.351 AM",0.1,NaN,,
CL0001,Desktop,Page,16,Chart of Accounts,,,2,0,"10/30/2025, 1:32:06.126 PM","10/30/2025, 1:32:22.097 PM",0.1,NaN,,
CL0001,Desktop,Page,10008166,Iobs Imported Statements,,,2,0,"10/30/2025, 1:38:42.067 PM","10/31/2025, 7:23:34.362 AM",0.1,NaN,,
CL0001,Desktop,Page,5404,Item Units of Measure,,,2,0,"10/30/2025, 10:32:54.107 AM","10/30/2025, 10:33:21.652 AM",0.1,NaN,,
